Bandit,Reward,Algorithm
3.0,3.218452273320064,ThompsonSampling
3.0,4.411786945076068,ThompsonSampling
3.0,3.3922017540038873,ThompsonSampling
3.0,3.4452479608119235,ThompsonSampling
3.0,3.020458000953837,ThompsonSampling
3.0,6.778832052342304,ThompsonSampling
3.0,4.999306621762201,ThompsonSampling
3.0,2.40892027716594,ThompsonSampling
3.0,4.511383787309606,ThompsonSampling
3.0,4.2102373250362355,ThompsonSampling
3.0,4.019238467324818,ThompsonSampling
3.0,3.6501713393383457,ThompsonSampling
3.0,4.113161940271544,ThompsonSampling
3.0,4.865222797691412,ThompsonSampling
3.0,4.048124530525354,ThompsonSampling
3.0,3.94495856023896,ThompsonSampling
3.0,4.640786859382397,ThompsonSampling
3.0,2.2513963666231227,ThompsonSampling
3.0,4.300692056656179,ThompsonSampling
3.0,4.308960514298774,ThompsonSampling
3.0,4.184156362932269,ThompsonSampling
3.0,3.240709353460276,ThompsonSampling
3.0,4.544433896166849,ThompsonSampling
3.0,3.5823595292785826,ThompsonSampling
3.0,3.250854026969053,ThompsonSampling
3.0,4.2970115195889536,ThompsonSampling
3.0,3.328038746728258,ThompsonSampling
3.0,3.3435158774473086,ThompsonSampling
3.0,2.907505534401464,ThompsonSampling
3.0,2.7584200824623792,ThompsonSampling
3.0,4.2540266532533275,ThompsonSampling
3.0,2.688423824087793,ThompsonSampling
3.0,4.328565060216623,ThompsonSampling
3.0,3.204929471952898,ThompsonSampling
3.0,3.9982187089157675,ThompsonSampling
3.0,3.924202911577237,ThompsonSampling
3.0,4.812726098676251,ThompsonSampling
3.0,4.008042480777025,ThompsonSampling
3.0,3.455850712986037,ThompsonSampling
3.0,2.8462339516453774,ThompsonSampling
3.0,5.071111842738246,ThompsonSampling
3.0,4.4215807210547515,ThompsonSampling
3.0,1.8811223098898524,ThompsonSampling
3.0,4.176827396043251,ThompsonSampling
3.0,2.333286729245229,ThompsonSampling
3.0,4.596934505004146,ThompsonSampling
3.0,3.5355046290096923,ThompsonSampling
3.0,2.3867816853268806,ThompsonSampling
3.0,3.166056412242168,ThompsonSampling
3.0,4.474782484250273,ThompsonSampling
3.0,1.7521632594952248,ThompsonSampling
3.0,5.384766184775555,ThompsonSampling
3.0,4.420510229884145,ThompsonSampling
3.0,2.8018837027934556,ThompsonSampling
3.0,4.424352856731386,ThompsonSampling
3.0,2.487945501100331,ThompsonSampling
3.0,3.4654322585641886,ThompsonSampling
3.0,3.2204604616702506,ThompsonSampling
3.0,3.072898266761458,ThompsonSampling
3.0,3.43966681026964,ThompsonSampling
3.0,4.126798357333956,ThompsonSampling
3.0,3.4941316867060532,ThompsonSampling
3.0,4.233648657826631,ThompsonSampling
3.0,5.081710244129993,ThompsonSampling
3.0,3.8202301022702407,ThompsonSampling
3.0,3.6785334006629387,ThompsonSampling
3.0,3.4205194888327246,ThompsonSampling
3.0,3.4044267621948947,ThompsonSampling
3.0,4.127845709381752,ThompsonSampling
3.0,3.5474086972180974,ThompsonSampling
3.0,6.813538665906181,ThompsonSampling
3.0,4.6080247161505055,ThompsonSampling
3.0,4.99139114895994,ThompsonSampling
3.0,2.1757287783705275,ThompsonSampling
3.0,3.443589283943879,ThompsonSampling
3.0,3.3076005968277187,ThompsonSampling
3.0,3.3252007690399665,ThompsonSampling
3.0,2.6904447965262195,ThompsonSampling
3.0,3.6287024537100883,ThompsonSampling
3.0,4.160467213022867,ThompsonSampling
3.0,4.376155254427072,ThompsonSampling
3.0,2.9154265393101255,ThompsonSampling
3.0,3.9646111731491165,ThompsonSampling
3.0,4.175039996494891,ThompsonSampling
3.0,4.00662451877916,ThompsonSampling
3.0,2.840158284490259,ThompsonSampling
3.0,5.021417590029262,ThompsonSampling
3.0,3.7839741986355806,ThompsonSampling
3.0,3.7077763033964284,ThompsonSampling
3.0,2.9923449893940472,ThompsonSampling
3.0,5.576745916195643,ThompsonSampling
3.0,4.85209692419458,ThompsonSampling
3.0,3.5277619512727814,ThompsonSampling
3.0,5.283452628896589,ThompsonSampling
3.0,2.8974884348028853,ThompsonSampling
3.0,4.980566750104082,ThompsonSampling
3.0,3.5839497299426295,ThompsonSampling
3.0,3.7747383202660387,ThompsonSampling
3.0,4.073264238226903,ThompsonSampling
3.0,4.691868834565296,ThompsonSampling
3.0,4.18729299578772,ThompsonSampling
3.0,3.0674372104430505,ThompsonSampling
3.0,4.510877187113135,ThompsonSampling
3.0,4.271817052408914,ThompsonSampling
3.0,3.8701690229863637,ThompsonSampling
3.0,4.521640071844239,ThompsonSampling
3.0,4.9886780053330595,ThompsonSampling
3.0,3.2538521870559567,ThompsonSampling
3.0,2.325211104290208,ThompsonSampling
3.0,3.6552535327235267,ThompsonSampling
3.0,3.777290947578021,ThompsonSampling
3.0,2.724932210037081,ThompsonSampling
3.0,5.544646052963379,ThompsonSampling
3.0,4.423606749839188,ThompsonSampling
3.0,4.116521306890301,ThompsonSampling
3.0,3.629108068422367,ThompsonSampling
3.0,4.079553937284362,ThompsonSampling
3.0,5.603899987939084,ThompsonSampling
3.0,4.336789174342254,ThompsonSampling
3.0,4.72289543781314,ThompsonSampling
3.0,2.565900669915461,ThompsonSampling
3.0,3.493630061080028,ThompsonSampling
3.0,2.744792196865604,ThompsonSampling
3.0,4.542153248013219,ThompsonSampling
3.0,5.340214665401418,ThompsonSampling
3.0,4.657923919332241,ThompsonSampling
3.0,4.834379995408583,ThompsonSampling
3.0,5.954144768326081,ThompsonSampling
3.0,3.1265914688795395,ThompsonSampling
3.0,4.808129717153536,ThompsonSampling
3.0,6.242446654072957,ThompsonSampling
3.0,6.78528795299072,ThompsonSampling
3.0,4.121785311261631,ThompsonSampling
3.0,5.180227114523007,ThompsonSampling
3.0,2.9942884198790694,ThompsonSampling
3.0,3.8774358961875244,ThompsonSampling
3.0,4.24972540975028,ThompsonSampling
3.0,2.8881094647691814,ThompsonSampling
3.0,2.5209942261333085,ThompsonSampling
3.0,5.359434347582932,ThompsonSampling
3.0,2.1631108228510705,ThompsonSampling
3.0,2.2107753817184865,ThompsonSampling
3.0,3.5145312522256296,ThompsonSampling
3.0,5.272623902650006,ThompsonSampling
3.0,5.3127104661442,ThompsonSampling
3.0,4.9166407994116845,ThompsonSampling
3.0,3.744621060075784,ThompsonSampling
3.0,5.545227096545908,ThompsonSampling
3.0,3.9766475671276456,ThompsonSampling
3.0,4.15547150716701,ThompsonSampling
3.0,3.607761441039417,ThompsonSampling
3.0,6.905046445316707,ThompsonSampling
3.0,3.5705178227849292,ThompsonSampling
3.0,2.9064596099792044,ThompsonSampling
3.0,4.241785539225252,ThompsonSampling
3.0,4.642992709169256,ThompsonSampling
3.0,2.404536711559566,ThompsonSampling
3.0,2.8963717131905327,ThompsonSampling
3.0,4.827678388529315,ThompsonSampling
3.0,4.1787973702773495,ThompsonSampling
3.0,2.9369479810712518,ThompsonSampling
3.0,2.5406209981626455,ThompsonSampling
3.0,4.21629172897488,ThompsonSampling
3.0,4.094737719594717,ThompsonSampling
3.0,3.4339199269635476,ThompsonSampling
3.0,3.034365509703041,ThompsonSampling
3.0,4.407592488188099,ThompsonSampling
3.0,2.7928234403049954,ThompsonSampling
3.0,3.397874223132135,ThompsonSampling
3.0,3.6744267964023174,ThompsonSampling
3.0,4.112584507419779,ThompsonSampling
3.0,1.7731717891717493,ThompsonSampling
3.0,3.9784720281011556,ThompsonSampling
3.0,3.9611254647317615,ThompsonSampling
3.0,3.268385208063852,ThompsonSampling
3.0,4.255411248925088,ThompsonSampling
3.0,5.367066896294043,ThompsonSampling
3.0,4.909838771379256,ThompsonSampling
3.0,5.043259682172388,ThompsonSampling
3.0,2.6826396624007622,ThompsonSampling
3.0,4.333023211915118,ThompsonSampling
3.0,6.964941842944844,ThompsonSampling
3.0,3.29589521083879,ThompsonSampling
3.0,2.2324190183305856,ThompsonSampling
3.0,3.04997778995686,ThompsonSampling
3.0,4.9849585849794655,ThompsonSampling
3.0,2.248172948112348,ThompsonSampling
3.0,4.446535906429386,ThompsonSampling
3.0,6.428241536844046,ThompsonSampling
3.0,4.383132645069242,ThompsonSampling
3.0,4.38148203390224,ThompsonSampling
3.0,3.4033548049269013,ThompsonSampling
3.0,2.8657856450061034,ThompsonSampling
3.0,1.2446706501202183,ThompsonSampling
3.0,0.9304778586605975,ThompsonSampling
3.0,4.226650472192462,ThompsonSampling
3.0,3.4624288611335508,ThompsonSampling
3.0,4.361196737732404,ThompsonSampling
3.0,3.1146038622426984,ThompsonSampling
3.0,4.77920479468618,ThompsonSampling
3.0,5.880169816748614,ThompsonSampling
3.0,3.3062961865234737,ThompsonSampling
3.0,3.8433268983504076,ThompsonSampling
3.0,3.327312283813665,ThompsonSampling
3.0,4.0278626963718125,ThompsonSampling
3.0,2.902157347006203,ThompsonSampling
3.0,5.812249005206022,ThompsonSampling
3.0,3.5120003638835606,ThompsonSampling
3.0,2.412164975465311,ThompsonSampling
3.0,2.6273912793041845,ThompsonSampling
3.0,4.108899663000724,ThompsonSampling
3.0,6.468620893712917,ThompsonSampling
3.0,4.37638800872644,ThompsonSampling
3.0,4.246426497598321,ThompsonSampling
3.0,4.935584761617473,ThompsonSampling
3.0,3.4922976256681864,ThompsonSampling
3.0,3.0249021066085824,ThompsonSampling
3.0,4.265088141250633,ThompsonSampling
3.0,4.899551346371633,ThompsonSampling
3.0,4.926801882874638,ThompsonSampling
3.0,3.8859177785328636,ThompsonSampling
3.0,1.7561814309802997,ThompsonSampling
3.0,4.58170295948124,ThompsonSampling
3.0,3.8434690019833404,ThompsonSampling
3.0,5.177375789636676,ThompsonSampling
3.0,5.326738920422756,ThompsonSampling
3.0,2.6948592834340923,ThompsonSampling
3.0,5.140511407674824,ThompsonSampling
3.0,5.987286316431252,ThompsonSampling
3.0,5.0500716593374175,ThompsonSampling
3.0,3.7330783982967097,ThompsonSampling
3.0,4.289761903580937,ThompsonSampling
3.0,3.717686912355842,ThompsonSampling
3.0,2.1515566968747293,ThompsonSampling
3.0,4.27040699101314,ThompsonSampling
3.0,4.765256724278054,ThompsonSampling
3.0,2.129863423891201,ThompsonSampling
3.0,3.195672349781048,ThompsonSampling
3.0,4.622044636846197,ThompsonSampling
3.0,3.2066733730461805,ThompsonSampling
3.0,5.103911791747416,ThompsonSampling
3.0,4.843224008569287,ThompsonSampling
3.0,4.620672203483649,ThompsonSampling
3.0,3.825930546283073,ThompsonSampling
3.0,4.487298227095724,ThompsonSampling
3.0,4.478619052523513,ThompsonSampling
3.0,2.1992631221607004,ThompsonSampling
3.0,4.849480561935083,ThompsonSampling
3.0,4.924034292528166,ThompsonSampling
3.0,3.179955279570022,ThompsonSampling
3.0,3.0992951251917846,ThompsonSampling
3.0,3.8766662465157786,ThompsonSampling
3.0,3.941370645216545,ThompsonSampling
3.0,3.884026731470047,ThompsonSampling
3.0,3.7670416779026503,ThompsonSampling
3.0,4.503497552328903,ThompsonSampling
3.0,5.696220075093917,ThompsonSampling
3.0,4.666430264800723,ThompsonSampling
3.0,3.417853665844094,ThompsonSampling
3.0,4.856325591256526,ThompsonSampling
3.0,4.74472429097059,ThompsonSampling
3.0,3.25709390218241,ThompsonSampling
3.0,4.986003530838511,ThompsonSampling
3.0,2.829827239012262,ThompsonSampling
3.0,6.067972204972848,ThompsonSampling
3.0,4.674072392533587,ThompsonSampling
3.0,3.5091394209684594,ThompsonSampling
3.0,4.3864202039925315,ThompsonSampling
3.0,5.079365818187413,ThompsonSampling
3.0,3.7868633947780372,ThompsonSampling
3.0,4.017518698778765,ThompsonSampling
3.0,3.8417969639331093,ThompsonSampling
3.0,2.2521895780277053,ThompsonSampling
3.0,3.7793279155740116,ThompsonSampling
3.0,2.7723460037792123,ThompsonSampling
3.0,4.3405376750753355,ThompsonSampling
3.0,4.123884169673147,ThompsonSampling
3.0,4.333718466614112,ThompsonSampling
3.0,3.7663828331558302,ThompsonSampling
3.0,2.9483000905490844,ThompsonSampling
3.0,4.7871543945094,ThompsonSampling
3.0,2.765203076882376,ThompsonSampling
3.0,4.684724588994709,ThompsonSampling
3.0,4.19414252990464,ThompsonSampling
3.0,3.481238797396432,ThompsonSampling
3.0,5.825559300157501,ThompsonSampling
3.0,6.7813385985784045,ThompsonSampling
3.0,4.89916703858144,ThompsonSampling
3.0,4.9902076830885775,ThompsonSampling
3.0,4.710341954138347,ThompsonSampling
3.0,3.8201610684355756,ThompsonSampling
3.0,4.739267903117224,ThompsonSampling
3.0,3.8741980476454945,ThompsonSampling
3.0,5.001900111411425,ThompsonSampling
3.0,3.4193430024022,ThompsonSampling
3.0,5.043410533188336,ThompsonSampling
3.0,3.2105066425148587,ThompsonSampling
3.0,6.044110081840329,ThompsonSampling
3.0,3.7091356687996857,ThompsonSampling
3.0,6.988817353477568,ThompsonSampling
3.0,5.265614611469614,ThompsonSampling
3.0,3.5236047192283717,ThompsonSampling
3.0,4.707830772688964,ThompsonSampling
3.0,4.434594579004191,ThompsonSampling
3.0,3.507301344248845,ThompsonSampling
3.0,4.677495135544337,ThompsonSampling
3.0,5.853206995350469,ThompsonSampling
3.0,3.3880977888173027,ThompsonSampling
3.0,4.156655540404776,ThompsonSampling
3.0,3.8373358292494175,ThompsonSampling
3.0,3.645480933396251,ThompsonSampling
3.0,6.767298128442411,ThompsonSampling
3.0,4.464273113344073,ThompsonSampling
3.0,4.810790791192795,ThompsonSampling
3.0,4.495920051345373,ThompsonSampling
3.0,3.7073138588784875,ThompsonSampling
3.0,5.217081960173111,ThompsonSampling
3.0,4.5593957514591015,ThompsonSampling
3.0,4.087379618547305,ThompsonSampling
3.0,4.823166816586985,ThompsonSampling
3.0,4.620444621202042,ThompsonSampling
3.0,2.7212507422593326,ThompsonSampling
3.0,2.1552067893497138,ThompsonSampling
3.0,2.282797201207333,ThompsonSampling
3.0,6.689093948918854,ThompsonSampling
3.0,2.9048586295032752,ThompsonSampling
3.0,4.100609537882141,ThompsonSampling
3.0,3.205155720337314,ThompsonSampling
3.0,2.478750011004509,ThompsonSampling
3.0,3.711029003117683,ThompsonSampling
3.0,4.6941128111157235,ThompsonSampling
3.0,2.3133079807101664,ThompsonSampling
3.0,4.808775030615231,ThompsonSampling
3.0,2.064426420015335,ThompsonSampling
3.0,3.094719139501497,ThompsonSampling
3.0,2.3357200990616453,ThompsonSampling
3.0,4.530290858218885,ThompsonSampling
3.0,4.881581932444135,ThompsonSampling
3.0,5.236303974041495,ThompsonSampling
3.0,3.2491581312215825,ThompsonSampling
3.0,4.4758438717943285,ThompsonSampling
3.0,3.308799189122931,ThompsonSampling
3.0,5.135588218481259,ThompsonSampling
3.0,3.545411395419215,ThompsonSampling
3.0,4.08154359995285,ThompsonSampling
3.0,2.986066493689494,ThompsonSampling
3.0,3.6878950125547707,ThompsonSampling
3.0,2.222381376535392,ThompsonSampling
3.0,0.5029797588833356,ThompsonSampling
3.0,2.0934749390140968,ThompsonSampling
3.0,3.831810777870572,ThompsonSampling
3.0,4.022085888173707,ThompsonSampling
3.0,3.9502453438264413,ThompsonSampling
3.0,2.5060265350040307,ThompsonSampling
3.0,2.2502150989106577,ThompsonSampling
3.0,4.314803353708214,ThompsonSampling
3.0,3.1273878916584783,ThompsonSampling
3.0,6.26872284692437,ThompsonSampling
3.0,4.792782165399794,ThompsonSampling
3.0,4.7220968701471575,ThompsonSampling
3.0,5.153882109511948,ThompsonSampling
3.0,6.504346002945519,ThompsonSampling
3.0,4.056877814485838,ThompsonSampling
3.0,2.3286119986236296,ThompsonSampling
3.0,4.437442033342008,ThompsonSampling
